logU dens met OH CII_1335 CIV_1551 HeII_1640 CIII_1909 Hbeta OIII_5007 Halpha NII_6583 CI_9850 SIII_9531 HeI_10830 PaGamma PII_1188 FeII_1257 PaBeta FeII_132 FeII_164 PaAlpha
-3.0 3.0 0.006 8.147 7.796 0.325 0.204 30.624 100.0 230.955 279.4 26.181 0.102 51.727 42.87 8.703 0.925 0.475 15.458 0.126 0.402 30.248
-2.5 3.0 0.006 8.147 7.902 1.179 0.242 43.93 100.0 443.653 278.883 11.833 0.017 59.398 41.23 8.697 0.543 0.185 15.43 0.049 0.156 30.175
-2.0 3.0 0.006 8.147 7.98 2.329 0.315 57.253 100.0 589.345 278.42 4.692 0.003 56.968 35.808 8.688 0.258 0.078 15.398 0.021 0.066 30.074
-1.5 3.0 0.006 8.147 8.331 3.635 0.476 71.936 100.0 697.764 277.645 2.0 0.001 44.599 28.403 8.66 0.112 0.039 15.337 0.01 0.033 29.895
-1.0 3.0 0.006 8.147 8.947 5.949 0.86 87.954 100.0 815.17 276.876 1.037 0.0 29.514 23.608 8.617 0.053 0.024 15.249 0.006 0.02 29.636
-4.0 3.0 0.008 8.272 5.939 0.0 0.081 4.6 100.0 6.008 280.783 57.175 2.237 21.604 34.748 8.854 1.779 2.977 15.764 0.788 2.518 31.005
-3.5 3.0 0.008 8.272 7.604 0.015 0.114 13.816 100.0 51.793 280.149 57.368 0.605 42.172 39.196 8.798 1.552 1.502 15.649 0.397 1.27 30.706
-3.0 3.0 0.008 8.272 8.474 0.303 0.135 26.01 100.0 229.128 279.65 38.814 0.126 61.23 40.645 8.78 1.167 0.634 15.603 0.168 0.537 30.585
-2.5 3.0 0.008 8.272 8.818 1.096 0.164 35.789 100.0 451.709 279.384 18.069 0.022 69.929 38.653 8.783 0.692 0.244 15.597 0.065 0.207 30.57
-2.0 3.0 0.008 8.272 9.191 1.968 0.222 46.171 100.0 611.253 279.024 7.361 0.004 68.221 33.508 8.777 0.339 0.103 15.577 0.027 0.087 30.496
